40,19,1


11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,16,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,05,06,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,04,05,06,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,11,12,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,10,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,06,05,04,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,10,04,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,06,05,05,11,11,11,11,11,11,11,11,11,
11,04,05,06,04,05,04,16,04,05,06,05,11,10,04,05,06,10,11,12,05,06,05,06,05,04,16,11,12,10,05,06,05,05,04,10,04,04,05,11,
11,10,11,12,05,11,12,05,10,11,12,11,06,16,10,11,12,16,12,10,11,12,11,04,04,05,12,05,06,10,10,10,11,12,11,16,10,10,11,11,
11,16,04,05,06,11,12,04,16,05,06,12,05,04,05,06,11,05,06,16,11,12,06,10,10,11,12,11,12,10,10,11,12,06,05,16,16,04,05,11,
11,11,11,11,11,05,06,10,11,11,11,11,11,11,11,11,06,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,12,10,11,11,11,11,11,11,11,11,04,05,04,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,16,04,10,11,11,11,11,11,11,11,11,10,05,04,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,05,10,16,11,11,11,11,11,11,11,11,10,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,16,10,04,05,11,16,12,11,12,10,11,11,11,11,11,10,10,04,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,04,12,16,11,10,04,05,06,06,05,11,11,11,11,11,06,16,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,12,05,04,05,06,10,11,12,12,11,11,11,11,11,11,12,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,16,04,12,11,12,16,05,06,04,16,04,05,06,04,04,06,05,05,10,11,10,11,12,04,05,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,06,12,04,04,05,06,11,12,10,04,10,11,12,10,10,12,11,11,16,10,05,06,06,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,10,16,10,11,11,12,12,16,06,10,10,10,06,16,11,06,05,04,04,04,11,12,12,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
