41,27,1,

6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
6,16,4,10,11,5,4,11,10,16,5,4,5,11,16,10,4,16,5,11,10,11,5,16,4,10,16,11,5,4,5,16,10,11,4,5,11,10,4,16,6,
6,10,6,6,6,4,6,6,6,10,6,6,6,6,6,6,6,6,6,16,6,16,6,6,6,6,6,6,6,6,6,10,6,6,6,4,6,6,6,10,6,
6,11,6,5,10,16,11,5,4,10,6,11,4,10,5,16,10,4,11,4,6,4,11,4,10,16,5,10,4,11,6,10,4,5,11,16,10,5,6,11,6,
6,5,6,4,6,10,6,6,6,6,6,16,6,6,6,6,6,6,6,10,6,10,6,6,6,6,6,6,6,16,6,6,6,6,6,10,6,4,6,5,6,
6,4,10,16,6,5,4,10,11,16,6,10,5,11,16,4,6,4,11,5,6,5,11,4,6,4,16,11,5,10,6,16,11,10,4,5,6,16,10,4,6,
6,6,6,11,6,6,6,16,6,4,6,6,6,10,6,5,6,10,6,6,6,6,6,10,6,5,6,10,6,6,6,4,6,16,6,6,6,11,6,6,6,
6,10,4,5,6,10,11,4,6,5,6,4,11,16,6,16,4,11,5,4,16,4,5,11,4,16,6,16,11,4,6,5,6,4,11,10,6,5,4,10,6,
6,11,6,16,6,4,6,6,6,16,6,10,6,6,6,10,6,6,6,10,6,10,6,6,6,10,6,6,6,10,6,16,6,6,6,4,6,16,6,11,6,
6,16,6,10,11,5,16,4,10,11,6,16,5,4,16,4,11,10,16,5,6,5,16,10,11,4,16,4,5,16,6,11,10,4,16,5,11,10,6,16,6,
6,4,6,6,6,6,6,6,6,4,6,6,6,6,6,5,6,4,6,6,6,6,6,4,6,5,6,6,6,6,6,4,6,6,6,6,6,6,6,4,6,
6,10,5,16,10,11,4,16,6,5,16,4,10,11,10,16,6,11,5,10,16,10,5,11,6,16,10,11,10,4,16,5,6,16,4,11,10,16,5,10,6,
6,16,6,6,6,6,6,10,6,6,6,6,6,6,6,4,6,10,6,6,6,6,6,10,6,4,6,6,6,6,6,6,6,10,6,6,6,6,6,16,6,
6,11,4,10,4,16,6,4,11,10,16,5,10,4,11,16,6,16,4,11,5,11,6,16,6,16,11,4,10,5,16,10,11,4,6,10,4,10,4,11,6,
6,16,6,6,6,6,6,10,6,6,6,6,6,6,6,4,6,10,6,6,6,6,6,10,6,4,6,6,6,6,6,6,6,10,6,6,6,6,6,16,6,
6,10,5,16,10,11,4,16,6,5,16,4,10,11,10,16,6,11,5,10,16,10,5,11,6,16,10,11,10,4,16,5,6,16,4,11,10,16,5,10,6,
6,4,6,6,6,6,6,6,6,4,6,6,6,6,6,5,6,4,6,6,6,6,6,4,6,5,6,6,6,6,6,4,6,6,6,6,6,6,6,4,6,
6,16,6,10,11,5,16,4,10,11,6,16,5,4,16,4,11,10,16,5,6,5,16,10,11,4,16,4,5,16,6,11,10,4,16,5,11,10,6,16,6,
6,11,6,16,6,4,6,6,6,16,6,10,6,6,6,10,6,6,6,10,6,10,6,6,6,10,6,6,6,10,6,16,6,6,6,4,6,16,6,11,6,
6,10,4,5,6,10,11,4,6,5,6,4,11,16,6,16,4,11,5,4,16,4,5,11,4,16,6,16,11,4,6,5,6,4,11,10,6,5,4,10,6,
6,6,6,11,6,6,6,16,6,4,6,6,6,10,6,5,6,10,6,6,6,6,6,10,6,5,6,10,6,6,6,4,6,16,6,6,6,11,6,6,6,
6,4,10,16,6,5,4,10,11,16,6,10,5,11,16,4,6,4,11,5,6,5,11,4,6,4,16,11,5,10,6,16,11,10,4,5,6,16,10,4,6,
6,5,6,4,6,10,6,6,6,6,6,16,6,6,6,6,6,6,6,10,6,10,6,6,6,6,6,6,6,16,6,6,6,6,6,10,6,4,6,5,6,
6,11,6,5,10,16,11,5,4,10,6,11,4,10,5,16,10,4,11,4,6,4,11,4,10,16,5,10,4,11,6,10,4,5,11,16,10,5,6,11,6,
6,10,6,6,6,4,6,6,6,10,6,6,6,6,6,6,6,6,6,16,6,16,6,6,6,6,6,6,6,6,6,10,6,6,6,4,6,6,6,10,6,
6,16,4,10,11,5,4,11,10,16,5,4,5,11,16,10,4,16,5,11,10,11,5,16,4,10,16,11,5,4,5,16,10,11,4,5,11,10,4,16,6,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
