20,20,1

00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,06,05,06,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,12,11,12,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,06,04,06,00
00,10,11,12,10,11,12,10,11,16,10,11,12,11,10,11,12,10,12,00
00,04,05,06,10,05,06,06,05,06,04,04,05,06,04,05,06,05,04,00
00,10,11,12,16,11,12,12,11,12,10,10,11,12,10,11,12,11,10,00
00,16,04,05,05,06,06,06,05,06,04,04,05,06,04,05,06,05,04,00
00,10,10,11,11,12,12,12,11,12,10,10,05,12,10,11,12,11,10,00
00,10,10,10,04,05,06,04,05,06,04,05,06,04,05,06,11,12,10,00
00,10,16,10,10,11,12,10,11,12,10,11,12,10,11,12,10,10,10,00
00,16,16,10,10,04,06,10,11,12,12,11,12,11,12,12,12,12,12,00
00,04,05,06,04,05,06,12,11,10,04,05,06,05,04,05,06,04,11,00
00,10,11,12,10,11,12,10,11,16,10,11,12,11,10,11,12,10,12,00
00,10,10,06,16,11,12,16,12,04,05,06,04,05,06,04,05,06,05,00
00,16,05,10,04,11,12,16,11,10,11,12,10,11,12,10,11,12,11,00
00,10,11,16,10,11,12,12,10,10,10,11,16,10,10,10,16,12,11,00
00,04,05,06,10,05,06,06,05,06,04,04,05,06,04,05,06,05,04,00
00,10,11,12,16,11,12,12,11,12,10,10,11,12,10,11,12,11,10,00
00,16,04,05,05,06,06,06,05,06,04,04,05,06,04,05,06,05,04,00
00,00,00,00,05,06,12,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,04,05,06,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,10,11,12,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,16,10,11,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,05,10,11,00,00,00,00,00,00,00,00,00,00,00,00,00
12,04,05,04,05,04,05,00,00,00,00,00,00,00,00,00,00,00,00,00
04,05,06,04,05,10,11,00,00,00,00,00,00,00,00,00,00,00,00,00
10,12,12,11,12,16,12,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
